Fold Number,Number of examples in fold,Model,Accuracy,Precision,Recall,F-Score,AUC,Average Log Loss,Training Log Loss
9,7543,Local Deep SVM (LDSVM),0.794378894339122,0.674418604651163,0.0185185185185185,0.036047234307023,0.569422088632222,0.502649005449745,1.59042130825277
Mean,75422,Local Deep SVM (LDSVM),0.804844922875312,0.593991834198345,0.115765003384125,0.187978294062063,0.723940591677191,0.458124111922183,8.75221571357834
Standard Deviation,75422,Local Deep SVM (LDSVM),0.00585746608382761,0.0473087723368136,0.0479997630041625,0.0698020665332541,0.0728575057023995,0.0196407425687833,3.39307820312479
0,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.809201803235216,0.580188679245283,0.0835030549898167,0.145994065281899,0.740242472932626,0.452130018485496,8.44351111375026
1,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.798461946433307,0.51063829787234,0.0786885245901639,0.136363636363636,0.732718935693132,0.473579449700032,5.9310356168624
2,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.805356669318483,0.527659574468085,0.0837272113436867,0.144522144522145,0.738811170386687,0.46821275726614,5.47355007406262
3,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.799655263855741,0.51931330472103,0.0796052631578947,0.138049058756418,0.746626623433376,0.465549494563947,7.35835644969323
4,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.800583399628746,0.55607476635514,0.0778795811518325,0.13662456946039,0.737370111102019,0.46518046349382,7.6993699314147
5,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.798196764783877,0.578199052132701,0.0784565916398714,0.138165345413364,0.742853889751482,0.467252461241056,8.17473585615436
6,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.809864757358791,0.51394422310757,0.0895211658570437,0.152482269503546,0.743563671033326,0.453486981131797,7.02684513514167
7,7543,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.798356091740687,0.537777777777778,0.0786736020806242,0.137266023823029,0.742258022952265,0.471562075008197,6.76140888359404
8,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.798329355608592,0.564444444444444,0.0819354838709677,0.143098591549296,0.729396399500409,0.472359347481459,7.00754511977169
9,7543,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.793318308365372,0.515837104072398,0.0727969348659004,0.12758813654169,0.744987009590403,0.471932922639442,7.60407444523277
Mean,75422,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.801132436032881,0.540407722419677,0.0804787413547802,0.140015384121541,0.739882830637572,0.466124597101139,7.14804326256777
Standard Deviation,75422,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.00531320542853015,0.027159173734691,0.00448042423656058,0.00679135353695458,0.00546124616804529,0.0076023530036746,0.928406143911712
