Fold Number,Number of examples in fold,Model,Accuracy,Precision,Recall,F-Score,AUC,Average Log Loss,Training Log Loss
6,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.813046937151949,0.591715976331361,0.0693962526023595,0.124223602484472,0.739552940718811,0.464688529273595,4.73032216216821
7,7543,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.79689778602678,0.522388059701492,0.0455136540962289,0.0837320574162679,0.741157942720035,0.478067989215523,5.47504107166867
8,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.796340493237868,0.5546875,0.0458064516129032,0.0846245530393325,0.731380227399974,0.4783460230526,5.82896008509377
9,7543,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.792125149144903,0.49390243902439,0.0517241379310345,0.0936416184971098,0.740574607942622,0.480586105295977,5.90993788007549
Mean,75422,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.800854030456972,0.56022892370531,0.0502624362095545,0.0921036127004313,0.740731782826171,0.471989048913754,5.97885930414189
Standard Deviation,75422,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.00638342808288118,0.0530025253844439,0.00783529027406844,0.0132910165990888,0.00380485353312748,0.00744315321669535,0.963237475782622
0,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.803500397772474,0.493688639551192,0.238968092328581,0.322049405306496,0.753819590213786,0.90437325832648,-83.1359051370883
1,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.794881994166004,0.484972677595628,0.232786885245902,0.314576871953921,0.759380770875961,0.946014261330206,-87.9105647666481
2,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.797268629010872,0.465811965811966,0.220796758946658,0.299587723316537,0.750476446917513,0.982889377124309,-98.4333874881278
3,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.799655263855741,0.506474820143885,0.231578947368421,0.317832957110609,0.755231257319652,1.03029199511786,-105.022118762784
4,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.793953858392999,0.480712166172107,0.212041884816754,0.294277929155313,0.748807918956989,0.99838094877567,-98.097723039245
5,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.791964996022275,0.490304709141274,0.227652733118971,0.310935441370224,0.749096085462769,0.975216301829986,-91.6511991720125
6,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.803500397772474,0.471801925722146,0.238029146426093,0.316420664206642,0.749217003025977,1.01839614264909,-108.789901857779
7,7543,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.790931989924433,0.472103004291845,0.214564369310793,0.295037997317836,0.752049115983754,0.996962672806699,-97.1222876787267
8,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.794881994166004,0.502133712660028,0.227741935483871,0.313359964491789,0.75285935010121,0.951760477764806,-87.3712116786303
9,7543,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.793318308365372,0.504697986577181,0.240102171136654,0.325400259627867,0.751826071887745,1.01564839255208,-98.8455747974086
Mean,75422,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.796385782944865,0.487270160766725,0.22842629241827,0.310947921385723,0.752276361074536,0.981993382827719,-95.6379874378451
Standard Deviation,75422,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.00449491125759186,0.0146132640150812,0.00993592103554893,0.0109975930282095,0.00328165760692799,0.0388205982036162,8.08043097930048
0,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.819411296738266,0.605714285714286,0.215885947046843,0.318318318318318,0.817753282376007,0.385815639776054,21.8721962907429
1,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.809466984884646,0.57773851590106,0.214426229508197,0.312769010043042,0.810598059596171,0.394629648512667,21.6131477538104
2,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.815433571996818,0.577391304347826,0.224172856178258,0.32295719844358,0.8109176667865,0.390626703951626,21.1372287538318
3,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.804428533545479,0.535885167464115,0.221052631578947,0.312994876571961,0.813277521893408,0.391470727299077,22.0996005746088
4,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.808273667462212,0.570205479452055,0.217931937172775,0.315340909090909,0.805921599600931,0.398333429538101,20.9630897918489
