Fold Number,Number of examples in fold,Model,Accuracy,Precision,Recall,F-Score,AUC,Average Log Loss,Training Log Loss
1,7542,Binary Neural Network,0.798859718907452,0.617647058823529,0.0137704918032787,0.026940346375882,0.791463095001321,0.448781424959877,10.8567656237944
2,7542,Binary Neural Network,0.804295942720764,0.575757575757576,0.012829169480081,0.0250990752972259,0.800118890313993,0.435903750536347,11.9963448065962
3,7542,Binary Neural Network,0.800450808804031,0.647058823529412,0.0217105263157895,0.0420114576702737,0.795658681326365,0.447423002686931,10.9654229783787
4,7542,Binary Neural Network,0.800318217979316,0.761904761904762,0.0209424083769634,0.0407643312101911,0.793939359644251,0.450405064878346,10.6310893580643
5,7542,Binary Neural Network,0.795677539114293,0.733333333333333,0.0141479099678457,0.0277602523659306,0.79138669690009,0.460343340807628,9.53252818776899
6,7542,Binary Neural Network,0.812649164677804,0.75,0.029146426092991,0.0561122244488978,0.785543057809774,0.432720922430229,11.2842683290226
7,7543,Binary Neural Network,0.798621238234124,0.731707317073171,0.0195058517555267,0.0379987333755542,0.789264310517135,0.453484648721669,10.3357288878845
8,7542,Binary Neural Network,0.796340493237868,0.791666666666667,0.012258064516129,0.0241423125794155,0.786342650415608,0.45911982376486,9.61398409132168
9,7543,Binary Neural Network,0.794776614079279,0.568181818181818,0.0478927203065134,0.088339222614841,0.797406554841665,0.439837396838906,13.8877975555466
Mean,75422,Binary Neural Network,0.800827454284642,0.69080265860395,0.0205102414507854,0.0394518189427204,0.792739869363475,0.446310596074752,11.0998742224817
Standard Deviation,75422,Binary Neural Network,0.00551738257768748,0.0812056820616765,0.0110451306740362,0.0200288676895372,0.004795198328051,0.00998571636996737,1.2818130937495
